type;number of algorithm;size;operations;
рандом от 0 до 5_2;1;2500;15618750;
рандом от 0 до 5_2;2;2500;18662497;
рандом от 0 до 5_2;3;2500;28164705;
рандом от 0 до 5_2;4;2500;47527;
рандом от 0 до 5_2;5;2500;430791;
рандом от 0 до 5_2;6;2500;6514839;
рандом от 0 до 5_2;7;2500;364036;
рандом от 0 до 5_2;8;2500;1089143;
рандом от 0 до 5_2;9;2500;33532;
рандом от 0 до 5_2;10;2500;9381946;
рандом от 0 до 5_2;11;2500;113734;
рандом от 0 до 5_2;12;2500;143538;
рандом от 0 до 5_2;0;2600;8683541;
рандом от 0 до 5_2;1;2600;16893500;
рандом от 0 до 5_2;2;2600;20197292;
рандом от 0 до 5_2;3;2600;30387371;
рандом от 0 до 5_2;4;2600;49427;
рандом от 0 до 5_2;5;2600;450874;
рандом от 0 до 5_2;6;2600;7045669;
рандом от 0 до 5_2;7;2600;380497;
рандом от 0 до 5_2;8;2600;1178693;
рандом от 0 до 5_2;9;2600;34832;
рандом от 0 до 5_2;10;2600;10147216;
рандом от 0 до 5_2;11;2600;119090;
рандом от 0 до 5_2;12;2600;147177;
рандом от 0 до 5_2;0;2700;9407188;
рандом от 0 до 5_2;1;2700;18218250;
рандом от 0 до 5_2;2;2700;21709458;
рандом от 0 до 5_2;3;2700;32862970;
рандом от 0 до 5_2;4;2700;51327;
рандом от 0 до 5_2;5;2700;469324;
рандом от 0 до 5_2;6;2700;7667694;
рандом от 0 до 5_2;7;2700;396707;
рандом от 0 до 5_2;8;2700;1273103;
рандом от 0 до 5_2;9;2700;36132;
