Number of substitution;Size of text;Size of alphabet;Size of pattern;Type of algorithm;Time(ns)
1;10000;2;300;Алгоритм КМП с применением уточненных граней;135466
1;10000;2;300;Поиск с применением автомата КМП;101249
1;10000;2;400;Наивный алгоритм;128896
1;10000;2;400;Алгоритм КМП с применением стандартных граней;116454
1;10000;2;400;Алгоритм КМП с применением уточненных граней;114995
1;10000;2;400;Поиск с применением автомата КМП;86336
1;10000;2;500;Наивный алгоритм;110294
1;10000;2;500;Алгоритм КМП с применением стандартных граней;129181
1;10000;2;500;Алгоритм КМП с применением уточненных граней;136859
1;10000;2;500;Поиск с применением автомата КМП;86931
1;10000;2;600;Наивный алгоритм;108408
1;10000;2;600;Алгоритм КМП с применением стандартных граней;119232
1;10000;2;600;Алгоритм КМП с применением уточненных граней;117595
1;10000;2;600;Поиск с применением автомата КМП;88285
1;10000;2;700;Наивный алгоритм;119589
1;10000;2;700;Алгоритм КМП с применением стандартных граней;117424
1;10000;2;700;Алгоритм КМП с применением уточненных граней;116791
1;10000;2;700;Поиск с применением автомата КМП;91948
1;10000;2;800;Наивный алгоритм;102970
1;10000;2;800;Алгоритм КМП с применением стандартных граней;111972
1;10000;2;800;Алгоритм КМП с применением уточненных граней;118575
1;10000;2;800;Поиск с применением автомата КМП;99423
1;10000;2;900;Наивный алгоритм;151663
1;10000;2;900;Алгоритм КМП с применением стандартных граней;119500
