type; algorithm; size; operations
рандом от 0 до 5;2500;364128;
рандом от 0 до 5;2500;1087931;
рандом от 0 до 5;2500;33532;
рандом от 0 до 5;2500;9381900;
рандом от 0 до 5;2500;113150;
рандом от 0 до 5;2500;144081;
рандом от 0 до 5;2600;8191636;
рандом от 0 до 5;2600;16893500;
рандом от 0 до 5;2600;20096213;
рандом от 0 до 5;2600;30610168;
рандом от 0 до 5;2600;49427;
рандом от 0 до 5;2600;453063;
рандом от 0 до 5;2600;7103464;
рандом от 0 до 5;2600;380413;
рандом от 0 до 5;2600;1173071;
рандом от 0 до 5;2600;34832;
рандом от 0 до 5;2600;10147200;
рандом от 0 до 5;2600;118290;
рандом от 0 до 5;2600;147504;
рандом от 0 до 5;2700;8787788;
рандом от 0 до 5;2700;18218250;
рандом от 0 до 5;2700;21732562;
рандом от 0 до 5;2700;32993105;
рандом от 0 до 5;2700;51327;
рандом от 0 до 5;2700;471830;
рандом от 0 до 5;2700;7608859;
рандом от 0 до 5;2700;396961;
рандом от 0 до 5;2700;1264265;
рандом от 0 до 5;2700;36132;
рандом от 0 до 5;2700;10942459;
рандом от 0 до 5;2700;122882;
рандом от 0 до 5;2700;153070;
рандом от 0 до 5;2800;9477412;
рандом от 0 до 5;2800;19593000;
рандом от 0 до 5;2800;23324002;
рандом от 0 до 5;2800;35469904;
рандом от 0 до 5;2800;53227;
рандом от 0 до 5;2800;492262;
рандом от 0 до 5;2800;8217884;
рандом от 0 до 5;2800;413169;
рандом от 0 до 5;2800;1359749;
рандом от 0 до 5;2800;37432;
рандом от 0 до 5;2800;11767766;
рандом от 0 до 5;2800;128302;
рандом от 0 до 5;2800;159263;
рандом от 0 до 5;2900;10126346;
рандом от 0 до 5;2900;21017750;
рандом от 0 до 5;2900;25074598;
рандом от 0 до 5;2900;37913871;
рандом от 0 до 5;2900;55127;
рандом от 0 до 5;2900;509673;
рандом от 0 до 5;2900;8778449;
рандом от 0 до 5;2900;429627;
рандом от 0 до 5;2900;1458941;
рандом от 0 до 5;2900;38732;
рандом от 0 до 5;2900;12622984;
рандом от 0 до 5;2900;133566;
рандом от 0 до 5;2900;162382;
рандом от 0 до 5;3000;10832870;
рандом от 0 до 5;3000;22492500;
рандом от 0 до 5;3000;26890847;
рандом от 0 до 5;3000;40593736;
рандом от 0 до 5;3000;57027;
рандом от 0 до 5;3000;530913;
рандом от 0 до 5;3000;9339024;
рандом от 0 до 5;3000;445819;
рандом от 0 до 5;3000;1555103;
рандом от 0 до 5;3000;40032;
рандом от 0 до 5;3000;13508268;
рандом от 0 до 5;3000;138446;
рандом от 0 до 5;3000;168893;
рандом от 0 до 5;3100;11544198;
рандом от 0 до 5;3100;24017250;
рандом от 0 до 5;3100;28769617;
рандом от 0 до 5;3100;43412826;
рандом от 0 до 5;3100;58927;
рандом от 0 до 5;3100;551648;
рандом от 0 до 5;3100;9895834;
рандом от 0 до 5;3100;462162;
рандом от 0 до 5;3100;1659257;
рандом от 0 до 5;3100;41332;
рандом от 0 до 5;3100;14423567;
рандом от 0 до 5;3100;143750;
рандом от 0 до 5;3100;174000;
рандом от 0 до 5;3200;12380492;
рандом от 0 до 5;3200;25592000;
рандом от 0 до 5;3200;30629572;
рандом от 0 до 5;3200;46160205;
рандом от 0 до 5;3200;60827;
рандом от 0 до 5;3200;573129;
рандом от 0 до 5;3200;10575639;
рандом от 0 до 5;3200;478577;
рандом от 0 до 5;3200;1768147;
рандом от 0 до 5;3200;42632;
рандом от 0 до 5;3200;15368826;
рандом от 0 до 5;3200;149042;
рандом от 0 до 5;3200;193681;
рандом от 0 до 5;3300;13245513;
рандом от 0 до 5;3300;27216750;
рандом от 0 до 5;3300;32558437;
рандом от 0 до 5;3300;49158026;
рандом от 0 до 5;3300;62727;
рандом от 0 до 5;3300;590555;
рандом от 0 до 5;3300;11282754;
рандом от 0 до 5;3300;495113;
рандом от 0 до 5;3300;1879741;
рандом от 0 до 5;3300;43932;
рандом от 0 до 5;3300;16344088;
рандом от 0 до 5;3300;154642;
рандом от 0 до 5;3300;188109;
рандом от 0 до 5;3400;14118774;
рандом от 0 до 5;3400;28891500;
рандом от 0 до 5;3400;34548732;
рандом от 0 до 5;3400;52103483;
рандом от 0 до 5;3400;64627;
рандом от 0 до 5;3400;609349;
рандом от 0 до 5;3400;11992189;
рандом от 0 до 5;3400;511418;
рандом от 0 до 5;3400;1985389;
рандом от 0 до 5;3400;45232;
рандом от 0 до 5;3400;17349372;
рандом от 0 до 5;3400;159886;
рандом от 0 до 5;3400;193119;
рандом от 0 до 5;3500;14961017;
рандом от 0 до 5;3500;30616250;
рандом от 0 до 5;3500;36664228;
рандом от 0 до 5;3500;55238348;
рандом от 0 до 5;3500;66527;
рандом от 0 до 5;3500;629471;
рандом от 0 до 5;3500;12651484;
рандом от 0 до 5;3500;527847;
рандом от 0 до 5;3500;2117433;
рандом от 0 до 5;3500;46532;
рандом от 0 до 5;3500;18384676;
рандом от 0 до 5;3500;165094;
рандом от 0 до 5;3500;194730;
рандом от 0 до 5;3600;15814628;
рандом от 0 до 5;3600;32391000;
рандом от 0 до 5;3600;38831233;
рандом от 0 до 5;3600;58529319;
рандом от 0 до 5;3600;68427;
рандом от 0 до 5;3600;652189;
рандом от 0 до 5;3600;13314169;
рандом от 0 до 5;3600;544328;
рандом от 0 до 5;3600;2224495;
рандом от 0 до 5;3600;47832;
рандом от 0 до 5;3600;19449919;
рандом от 0 до 5;3600;169902;
рандом от 0 до 5;3600;208019;
рандом от 0 до 5;3700;16827234;
рандом от 0 до 5;3700;34215750;
рандом от 0 до 5;3700;40943662;
рандом от 0 до 5;3700;61808746;
рандом от 0 до 5;3700;70327;
рандом от 0 до 5;3700;669926;
рандом от 0 до 5;3700;14150154;
рандом от 0 до 5;3700;560719;
рандом от 0 до 5;3700;2351085;
рандом от 0 до 5;3700;49132;
рандом от 0 до 5;3700;20545260;
рандом от 0 до 5;3700;175330;
рандом от 0 до 5;3700;207559;
рандом от 0 до 5;3800;17844260;
рандом от 0 до 5;3800;36090500;
рандом от 0 до 5;3800;43129427;
рандом от 0 до 5;3800;65270353;
рандом от 0 до 5;3800;72227;
рандом от 0 до 5;3800;686856;
рандом от 0 до 5;3800;14989239;
рандом от 0 до 5;3800;577204;
рандом от 0 до 5;3800;2494539;
рандом от 0 до 5;3800;50432;
рандом от 0 до 5;3800;21670489;
