Number of substitution;Size of text;Size_of_alphabet;Size of pattern;Type of algorithm;Time(ns)
0;100000;4;500;Наивный алгоритм;2069448
0;100000;4;500;Алгоритм КМП с применением стандартных граней;1927907
0;100000;4;500;Алгоритм КМП с применением уточненных граней;1956099
0;100000;4;600;Наивный алгоритм;2139579
0;100000;4;600;Алгоритм КМП с применением стандартных граней;1855403
0;100000;4;600;Алгоритм КМП с применением уточненных граней;2080521
0;100000;4;700;Наивный алгоритм;1665980
0;100000;4;700;Алгоритм КМП с применением стандартных граней;1906195
0;100000;4;700;Алгоритм КМП с применением уточненных граней;1740759
0;100000;4;800;Наивный алгоритм;1854431
0;100000;4;800;Алгоритм КМП с применением стандартных граней;1965053
0;100000;4;800;Алгоритм КМП с применением уточненных граней;2009835
0;100000;4;900;Наивный алгоритм;1919493
0;100000;4;900;Алгоритм КМП с применением стандартных граней;1832817
0;100000;4;900;Алгоритм КМП с применением уточненных граней;1934754
0;100000;4;1000;Наивный алгоритм;1845107
0;100000;4;1000;Алгоритм КМП с применением стандартных граней;1941297
0;100000;4;1000;Алгоритм КМП с применением уточненных граней;2034923
0;100000;4;1100;Наивный алгоритм;1763893
0;100000;4;1100;Алгоритм КМП с применением стандартных граней;2027131
0;100000;4;1100;Алгоритм КМП с применением уточненных граней;1876883
0;100000;4;1200;Наивный алгоритм;1891980
0;100000;4;1200;Алгоритм КМП с применением стандартных граней;1855812
0;100000;4;1200;Алгоритм КМП с применением уточненных граней;1914777
0;100000;4;1300;Наивный алгоритм;1900333
0;100000;4;1300;Алгоритм КМП с применением стандартных граней;1854474
0;100000;4;1300;Алгоритм КМП с применением уточненных граней;2060470
0;100000;4;1400;Наивный алгоритм;1667891
0;100000;4;1400;Алгоритм КМП с применением стандартных граней;2045322
0;100000;4;1400;Алгоритм КМП с применением уточненных граней;1897853
0;100000;4;1500;Наивный алгоритм;1767450
0;100000;4;1500;Алгоритм КМП с применением стандартных граней;1974221
0;100000;4;1500;Алгоритм КМП с применением уточненных граней;1657576
0;100000;4;1600;Наивный алгоритм;2281963
0;100000;4;1600;Алгоритм КМП с применением стандартных граней;1838868
0;100000;4;1600;Алгоритм КМП с применением уточненных граней;2088957
0;100000;4;1700;Наивный алгоритм;1837510
0;100000;4;1700;Алгоритм КМП с применением стандартных граней;1921872
0;100000;4;1700;Алгоритм КМП с применением уточненных граней;1978736
0;100000;4;1800;Наивный алгоритм;1754338
0;100000;4;1800;Алгоритм КМП с применением стандартных граней;2130169
0;100000;4;1800;Алгоритм КМП с применением уточненных граней;2001364
0;100000;4;1900;Наивный алгоритм;1828778
0;100000;4;1900;Алгоритм КМП с применением стандартных граней;2074179
0;100000;4;1900;Алгоритм КМП с применением уточненных граней;1871016
0;100000;4;2000;Наивный алгоритм;2046970
0;100000;4;2000;Алгоритм КМП с применением стандартных граней;2045054
0;100000;4;2000;Алгоритм КМП с применением уточненных граней;2099287
0;100000;4;2100;Наивный алгоритм;2104877
0;100000;4;2100;Алгоритм КМП с применением стандартных граней;1978909
0;100000;4;2100;Алгоритм КМП с применением уточненных граней;2178360
0;100000;4;2200;Наивный алгоритм;1910414
0;100000;4;2200;Алгоритм КМП с применением стандартных граней;1934149
0;100000;4;2200;Алгоритм КМП с применением уточненных граней;2035175
0;100000;4;2300;Наивный алгоритм;1783214
0;100000;4;2300;Алгоритм КМП с применением стандартных граней;2238347
0;100000;4;2300;Алгоритм КМП с применением уточненных граней;2040903
0;100000;4;2400;Наивный алгоритм;1809765
0;100000;4;2400;Алгоритм КМП с применением стандартных граней;2237739
0;100000;4;2400;Алгоритм КМП с применением уточненных граней;1896463
0;100000;4;2500;Наивный алгоритм;2157000
0;100000;4;2500;Алгоритм КМП с применением стандартных граней;2191588
0;100000;4;2500;Алгоритм КМП с применением уточненных граней;1984789
0;100000;4;2600;Наивный алгоритм;2081643
0;100000;4;2600;Алгоритм КМП с применением стандартных граней;2320088
0;100000;4;2600;Алгоритм КМП с применением уточненных граней;2019757
0;100000;4;2700;Наивный алгоритм;2196464
0;100000;4;2700;Алгоритм КМП с применением стандартных граней;1833507
0;100000;4;2700;Алгоритм КМП с применением уточненных граней;2169822
0;100000;4;2800;Наивный алгоритм;2141973
0;100000;4;2800;Алгоритм КМП с применением стандартных граней;1988037
0;100000;4;2800;Алгоритм КМП с применением уточненных граней;2255693
0;100000;4;2900;Наивный алгоритм;1784197
0;100000;4;2900;Алгоритм КМП с применением стандартных граней;1925835
0;100000;4;2900;Алгоритм КМП с применением уточненных граней;2045369
0;100000;4;3000;Наивный алгоритм;1663606
0;100000;4;3000;Алгоритм КМП с применением стандартных граней;2043127
0;100000;4;3000;Алгоритм КМП с применением уточненных граней;1809652
1;10000;2;100;Наивный алгоритм;643034
1;10000;2;100;Алгоритм КМП с применением стандартных граней;736245
1;10000;2;100;Алгоритм КМП с применением уточненных граней;630916
1;10000;2;200;Наивный алгоритм;522279
1;10000;2;200;Алгоритм КМП с применением стандартных граней;666141
1;10000;2;200;Алгоритм КМП с применением уточненных граней;898048
1;10000;2;300;Наивный алгоритм;590271
1;10000;2;300;Алгоритм КМП с применением стандартных граней;657810
1;10000;2;300;Алгоритм КМП с применением уточненных граней;637934
1;10000;2;400;Наивный алгоритм;538717
1;10000;2;400;Алгоритм КМП с применением стандартных граней;856707
1;10000;2;400;Алгоритм КМП с применением уточненных граней;666171
1;10000;2;500;Наивный алгоритм;366830
1;10000;2;500;Алгоритм КМП с применением стандартных граней;340612
1;10000;2;500;Алгоритм КМП с применением уточненных граней;353734
1;10000;2;600;Наивный алгоритм;470533
1;10000;2;600;Алгоритм КМП с применением стандартных граней;793537
1;10000;2;600;Алгоритм КМП с применением уточненных граней;774320
1;10000;2;700;Наивный алгоритм;326347
1;10000;2;700;Алгоритм КМП с применением стандартных граней;357138
1;10000;2;700;Алгоритм КМП с применением уточненных граней;361744
1;10000;2;800;Наивный алгоритм;330123
1;10000;2;800;Алгоритм КМП с применением стандартных граней;360023
1;10000;2;800;Алгоритм КМП с применением уточненных граней;500267
1;10000;2;900;Наивный алгоритм;629307
1;10000;2;900;Алгоритм КМП с применением стандартных граней;667277
1;10000;2;900;Алгоритм КМП с применением уточненных граней;651515
1;10000;2;1000;Наивный алгоритм;341886
1;10000;2;1000;Алгоритм КМП с применением стандартных граней;393092
1;10000;2;1000;Алгоритм КМП с применением уточненных граней;421075
1;10000;2;1100;Наивный алгоритм;477595
1;10000;2;1100;Алгоритм КМП с применением стандартных граней;459461
1;10000;2;1100;Алгоритм КМП с применением уточненных граней;370729
1;10000;2;1200;Наивный алгоритм;484907
1;10000;2;1200;Алгоритм КМП с применением стандартных граней;653567
1;10000;2;1200;Алгоритм КМП с применением уточненных граней;664640
1;10000;2;1300;Наивный алгоритм;441371
1;10000;2;1300;Алгоритм КМП с применением стандартных граней;576118
1;10000;2;1300;Алгоритм КМП с применением уточненных граней;424927
1;10000;2;1400;Наивный алгоритм;321450
1;10000;2;1400;Алгоритм КМП с применением стандартных граней;357447
1;10000;2;1400;Алгоритм КМП с применением уточненных граней;404078
1;10000;2;1500;Наивный алгоритм;351222
1;10000;2;1500;Алгоритм КМП с применением стандартных граней;386187
1;10000;2;1500;Алгоритм КМП с применением уточненных граней;474154
1;10000;2;1600;Наивный алгоритм;471290
1;10000;2;1600;Алгоритм КМП с применением стандартных граней;398907
1;10000;2;1600;Алгоритм КМП с применением уточненных граней;416425
1;10000;2;1700;Наивный алгоритм;337591
1;10000;2;1700;Алгоритм КМП с применением стандартных граней;436179
1;10000;2;1700;Алгоритм КМП с применением уточненных граней;387316
1;10000;2;1800;Наивный алгоритм;496293
1;10000;2;1800;Алгоритм КМП с применением стандартных граней;818352
1;10000;2;1800;Алгоритм КМП с применением уточненных граней;741849
1;10000;2;1900;Наивный алгоритм;323041
1;10000;2;1900;Алгоритм КМП с применением стандартных граней;461472
1;10000;2;1900;Алгоритм КМП с применением уточненных граней;488405
1;10000;2;2000;Наивный алгоритм;423779
1;10000;2;2000;Алгоритм КМП с применением стандартных граней;479710
1;10000;2;2000;Алгоритм КМП с применением уточненных граней;540134
1;10000;2;2100;Наивный алгоритм;377877
1;10000;2;2100;Алгоритм КМП с применением стандартных граней;427317
1;10000;2;2100;Алгоритм КМП с применением уточненных граней;454883
1;10000;2;2200;Наивный алгоритм;332448
1;10000;2;2200;Алгоритм КМП с применением стандартных граней;408202
1;10000;2;2200;Алгоритм КМП с применением уточненных граней;484240
1;10000;2;2300;Наивный алгоритм;402013
1;10000;2;2300;Алгоритм КМП с применением стандартных граней;534009
1;10000;2;2300;Алгоритм КМП с применением уточненных граней;444189
1;10000;2;2400;Наивный алгоритм;357242
1;10000;2;2400;Алгоритм КМП с применением стандартных граней;436587
1;10000;2;2400;Алгоритм КМП с применением уточненных граней;548043
1;10000;2;2500;Наивный алгоритм;360385
1;10000;2;2500;Алгоритм КМП с применением стандартных граней;503090
1;10000;2;2500;Алгоритм КМП с применением уточненных граней;590551
1;10000;2;2600;Наивный алгоритм;404452
1;10000;2;2600;Алгоритм КМП с применением стандартных граней;432012
1;10000;2;2600;Алгоритм КМП с применением уточненных граней;486230
1;10000;2;2700;Наивный алгоритм;334897
1;10000;2;2700;Алгоритм КМП с применением стандартных граней;470224
1;10000;2;2700;Алгоритм КМП с применением уточненных граней;494390
1;10000;2;2800;Наивный алгоритм;393772
1;10000;2;2800;Алгоритм КМП с применением стандартных граней;492786
1;10000;2;2800;Алгоритм КМП с применением уточненных граней;472685
1;10000;2;2900;Наивный алгоритм;406910
1;10000;2;2900;Алгоритм КМП с применением стандартных граней;431320
1;10000;2;2900;Алгоритм КМП с применением уточненных граней;474098
1;10000;2;3000;Наивный алгоритм;344594
1;10000;2;3000;Алгоритм КМП с применением стандартных граней;549266
1;10000;2;3000;Алгоритм КМП с применением уточненных граней;569994
1;10000;4;100;Наивный алгоритм;337455
1;10000;4;100;Алгоритм КМП с применением стандартных граней;497297
1;10000;4;100;Алгоритм КМП с применением уточненных граней;427439
1;10000;4;200;Наивный алгоритм;358418
1;10000;4;200;Алгоритм КМП с применением стандартных граней;480770
1;10000;4;200;Алгоритм КМП с применением уточненных граней;611369
1;10000;4;300;Наивный алгоритм;428243
1;10000;4;300;Алгоритм КМП с применением стандартных граней;468009
1;10000;4;300;Алгоритм КМП с применением уточненных граней;429913
1;10000;4;400;Наивный алгоритм;349976
1;10000;4;400;Алгоритм КМП с применением стандартных граней;443169
1;10000;4;400;Алгоритм КМП с применением уточненных граней;423659
1;10000;4;500;Наивный алгоритм;367154
1;10000;4;500;Алгоритм КМП с применением стандартных граней;374418
1;10000;4;500;Алгоритм КМП с применением уточненных граней;305290
1;10000;4;600;Наивный алгоритм;344441
1;10000;4;600;Алгоритм КМП с применением стандартных граней;436727
1;10000;4;600;Алгоритм КМП с применением уточненных граней;449030
1;10000;4;700;Наивный алгоритм;271408
1;10000;4;700;Алгоритм КМП с применением стандартных граней;305842
1;10000;4;700;Алгоритм КМП с применением уточненных граней;312399
1;10000;4;800;Наивный алгоритм;330167
